Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29607589,01/01/2015 12:01:30 AM,01/01/2015 12:20:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,508 WEST 139 STREET,WEST 139 STREET,AMSTERDAM AVENUE,HAMILTON PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:01:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 12:20:33 AM,09 MANHATTAN,MANHATTAN,"997,847","238,629",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.821646626438095,-73.95087342885292,"(40.821646626438095, -73.95087342885292)"
29608392,01/01/2015 12:04:28 AM,01/01/2015 02:25:02 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10468,2555 SEDGWICK AVENUE,SEDGWICK AVENUE,BAILEY AVENUE,BEND,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2015 08:04:28 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 02:25:02 AM,07 BRONX,BRONX,"1,009,923","255,465",Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86782963689454,-73.90717786644662,"(40.86782963689454, -73.90717786644662)"
29611577,01/01/2015 12:04:51 AM,01/01/2015 01:03:07 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11375,89-04 70 ROAD,70 ROAD,SYBILLA STREET,METROPOLITAN AVENUE,,,ADDRESS,FOREST HILLS,,Precinct,Closed,01/01/2015 08:04:51 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 01:03:07 AM,06 QUEENS,QUEENS,"1,024,948","197,703",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7092322205667,-73.85320421888265,"(40.7092322205667, -73.85320421888265)"
29610051,01/01/2015 12:05:05 AM,01/01/2015 01:22:10 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,,,,,LUDLOW STREET,STANTON STREET,INTERSECTION,NEW YORK,,Precinct,Closed,01/01/2015 08:05:05 AM,The Police Department made an arrest in response to the complaint.,01/01/2015 01:22:10 AM,03 MANHATTAN,MANHATTAN,"987,640","202,042",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72123468734571,-73.98777023226815,"(40.72123468734571, -73.98777023226815)"
29609227,01/01/2015 12:05:12 AM,01/01/2015 01:13:15 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,15 HALSEY STREET,HALSEY STREET,BEDFORD AVENUE,ARLINGTON PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:05:12 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2015 01:13:15 AM,03 BROOKLYN,BROOKLYN,"997,344","187,559",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68147320909141,-73.9527902345355,"(40.68147320909141, -73.9527902345355)"
29607567,01/01/2015 12:06:02 AM,01/01/2015 12:43:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,,,,,JEROME AVENUE,EAST  176 STREET,INTERSECTION,BRONX,,Precinct,Closed,01/01/2015 08:06:02 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2015 12:43:29 AM,05 BRONX,BRONX,"1,008,685","248,472",Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84863947227845,-73.91167941229558,"(40.84863947227845, -73.91167941229558)"
29612402,01/01/2015 12:07:42 AM,01/01/2015 12:16:24 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,568 WEST 149 STREET,WEST 149 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:07:42 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 12:16:24 AM,09 MANHATTAN,MANHATTAN,"998,780","241,128",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82850418445052,-73.94749704707705,"(40.82850418445052, -73.94749704707705)"
29612460,01/01/2015 12:09:39 AM,01/01/2015 01:29:36 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11357,14-03 141 STREET,141 STREET,14 AVENUE,15 AVENUE,,,ADDRESS,WHITESTONE,,Precinct,Closed,01/01/2015 08:09:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 01:29:36 AM,07 QUEENS,QUEENS,"1,031,830","225,772",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78624008309862,-73.82818264231226,"(40.78624008309862, -73.82818264231226)"
29610830,01/01/2015 12:09:40 AM,01/01/2015 07:38:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,220 EAST 18 STREET,EAST 18 STREET,ALBEMARLE ROAD,BEVERLY ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:09:40 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2015 07:38:38 AM,14 BROOKLYN,BROOKLYN,"994,684","174,572",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64583030875887,-73.96240082900569,"(40.64583030875887, -73.96240082900569)"
29613379,01/01/2015 12:10:44 AM,01/01/2015 10:30:50 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,78-37 64 PLACE,64 PLACE,78 AVENUE,80 AVENUE,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,01/01/2015 08:10:44 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 10:30:50 AM,05 QUEENS,QUEENS,"1,014,562","193,266",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.697095383514586,-73.89068596090978,"(40.697095383514586, -73.89068596090978)"
